epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,31.5363,0.94495,2.14037,0.01074,0.83548,0.68704,0.89658,0.67487,1.54811,1.07026,0.01116,1.16645e-05,1.16645e-05,1.16645e-05
13,34.1507,0.99188,1.99514,0.01592,0.83689,0.68692,0.89474,0.67175,1.54341,1.07967,0.01109,1.25835e-05,1.25835e-05,1.25835e-05
14,36.7398,1.17657,2.20464,0.01464,0.9702,0.61882,0.89326,0.67091,1.52732,1.09905,0.01088,1.3479e-05,1.3479e-05,1.3479e-05
15,39.4354,1.03759,1.85125,0.01299,0.83441,0.68486,0.89473,0.66548,1.52401,1.09247,0.01079,1.43509e-05,1.43509e-05,1.43509e-05
16,41.9232,1.07795,2.50774,0.02331,0.84002,0.68629,0.88687,0.66983,1.51745,1.08596,0.01064,1.51993e-05,1.51993e-05,1.51993e-05
17,44.4713,1.09055,2.40645,0.01493,0.83763,0.68637,0.8879,0.68536,1.51786,1.08983,0.01057,1.60241e-05,1.60241e-05,1.60241e-05
18,46.9907,1.21366,2.19991,0.01607,0.83763,0.68637,0.8879,0.68536,1.51786,1.08983,0.01057,1.68253e-05,1.68253e-05,1.68253e-05
19,49.5138,1.09312,1.89759,0.01188,0.83884,0.68591,0.88721,0.68414,1.51209,1.11002,0.01036,1.7603e-05,1.7603e-05,1.7603e-05
20,51.8758,1.07648,1.86588,0.0161,0.83884,0.68591,0.88721,0.68414,1.51209,1.11002,0.01036,1.83571e-05,1.83571e-05,1.83571e-05
21,54.7788,1.25278,2.85431,0.02295,0.85276,0.68608,0.88694,0.68396,1.50938,1.12629,0.01026,1.90876e-05,1.90876e-05,1.90876e-05
22,57.9124,0.94593,1.89331,0.0157,0.85276,0.68608,0.88694,0.68396,1.50938,1.12629,0.01026,1.97946e-05,1.97946e-05,1.97946e-05
23,60.6413,1.53609,2.32532,0.01764,0.84081,0.68546,0.88667,0.68245,1.50776,1.13187,0.01023,2.0478e-05,2.0478e-05,2.0478e-05
24,63.7468,1.20047,1.89062,0.01459,0.84081,0.68546,0.88667,0.68245,1.50776,1.13187,0.01023,2.11379e-05,2.11379e-05,2.11379e-05
25,66.2799,1.00044,2.54689,0.01503,0.95414,0.62896,0.88746,0.68248,1.51173,1.14362,0.01026,2.17741e-05,2.17741e-05,2.17741e-05
26,68.6579,1.0536,2.05528,0.01691,0.95414,0.62896,0.88746,0.68248,1.51173,1.14362,0.01026,2.23869e-05,2.23869e-05,2.23869e-05
27,71.0276,1.20116,1.87115,0.01355,0.91401,0.64178,0.88744,0.70004,1.51236,1.15893,0.01027,2.2976e-05,2.2976e-05,2.2976e-05
